"시도별","품목별","항목","단위","2018.01 월","2018.02 월","2018.03 월","2018.04 월","2018.05 월","2018.06 월","2018.07 월","2018.08 월","2018.09 월","2018.10 월","2018.11 월","2018.12 월","2019.01 월","2019.02 월","2019.03 월","2019.04 월","2019.05 월","2019.06 월","2019.07 월","2019.08 월","2019.09 월","2019.10 월","2019.11 월","2019.12 월","2020.01 월","2020.02 월","2020.03 월","2020.04 월","2020.05 월","2020.06 월","2020.07 월","2020.08 월","2020.09 월","2020.10 월","2020.11 월","2020.12 월","2021.01 월","2021.02 월","2021.03 월","2021.04 월","2021.05 월","2021.06 월","2021.07 월","2021.08 월","2021.09 월","2021.10 월","2021.11 월","2021.12 월","2022.01 월","2022.02 월","2022.03 월","2022.04 월","2022.05 월","2022.06 월","2022.07 월","2022.08 월","2022.09 월","2022.10 월","2022.11 월","2022.12 월","2023.01 월","2023.02 월","2023.03 월","2023.04 월","2023.05 월",
"전국","설비수리비","소비자물가지수[2020=100]","2020=100","90.031","90.345","90.851","91.647","91.985","92.451","93.062","93.126","93.561","94.011","94.196","94.638","95.08","95.209","95.651","96.398","96.905","97.323","97.54","97.669","97.636","98.135","98.288","98.537","99.02","99.16","99.33","99.49","99.71","99.83","100.15","100.3","100.48","100.72","100.87","100.94","101.42","101.82","102.45","103.44","104.25","104.99","105.59","106.13","106.39","106.87","107.32","107.5","107.92","108.23","108.93","109.64","110.39","111.1","111.74","111.91","112.4","112.72","112.8","112.9","113.43","113.8","114.38","114.97","115.35",
"전국","공동주택관리비","소비자물가지수[2020=100]","2020=100","88.1","91.715","92.694","91.922","91.38","90.369","89.406","90.927","90.035","91.492","90.632","90.521","88.626","97.591","96.484","94.47","94.812","95.33","94.979","95.473","95.067","95.959","95.76","96.834","95.69","100.16","100.24","100.22","98.25","98.91","99.54","101.03","100.58","102.38","101.36","101.65","101.97","105.09","105.85","104.49","105.22","105.57","105.5","106.2","105.16","106.71","105.74","106.11","106.37","111.6","110.04","109.44","109.57","110.37","109.96","111.22","110.85","112.47","111.34","112.26","112.49","117.46","114.82","115.25","115.67",
"전국","가전제품수리비","소비자물가지수[2020=100]","2020=100","93.017","94.022","94.022","94.022","94.022","94.022","94.022","94.022","94.022","94.022","94.022","94.022","94.022","94.022","94.022","94.022","94.022","94.022","94.022","94.022","94.022","101.152","101.152","101.152","100.95","101.59","101.59","101.59","101.59","101.59","101.59","101.59","96.98","96.98","96.98","96.98","104.09","104.09","104.09","104.09","104.09","104.09","104.09","104.09","104.09","104.09","104.09","104.09","105.37","105.37","105.37","105.37","107.11","107.11","107.11","107.11","107.11","107.11","107.11","107.11","108.18","113.73","113.73","113.73","113.73",
"전국","가전제품렌탈비","소비자물가지수[2020=100]","2020=100","108.434","108.434","108.434","108.434","108.434","108.434","108.434","109.13","109.13","109.13","109.13","109.13","109.13","109.13","109.13","109.13","109.13","109.13","109.13","109.13","109.13","109.13","109.13","109.13","100","100","100","100","100","100","100","100","100","100","100","100","100.46","100.46","101.43","101.43","101.43","101.43","101.43","103.94","100.34","100.34","99.08","99.08","98.49","96.92","96.92","95.48","95.48","95.48","99.08","99.08","99.08","99.08","99.08","96.93","98.63","98.63","99.89","100.58","101.18",
"전국","가사도우미료","소비자물가지수[2020=100]","2020=100","86.011","87.011","95.297","95.297","95.297","95.297","95.556","95.621","95.621","95.678","95.8","95.8","96.393","96.726","97.287","97.79","97.896","98.286","98.497","98.327","98.327","98.936","98.887","99.09","99.31","99.48","99.66","99.73","99.83","99.84","100.22","100.31","100.31","100.4","100.45","100.45","100.85","101","101.07","101.08","101.24","101.42","101.92","102.2","102.36","102.86","102.91","103.27","104.52","105.19","105.59","106.28","107.23","107.63","108.05","108.45","109.01","109.05","109.22","109.83","111.7","112.37","112.59","113.07","113.58",
"전국","간병도우미료","소비자물가지수[2020=100]","2020=100","90.365","90.381","90.804","91.642","92.239","93.069","94.04","94.844","95.267","95.35","95.4","95.574","96.404","96.926","97.109","97.242","97.391","97.391","97.449","97.889","98.229","98.262","98.27","98.27","98.7","98.86","99.11","99.72","99.76","99.84","100.01","100.3","100.9","100.91","100.9","100.99","103.08","104.47","105.01","105.48","106.1","106.18","106.83","107.54","107.7","107.8","107.96","108.99","109.81","111.35","111.94","112.95","114","115.3","115.98","116.54","117.43","117.7","117.87","118.79","120.12","120.81","122.95","126.15","127.03",
"전국","건강기기렌탈비","소비자물가지수[2020=100]","2020=100","98.963","98.963","98.963","98.963","98.963","98.963","98.963","98.963","98.963","98.963","98.963","98.963","98.963","98.963","98.963","98.963","98.963","98.963","98.963","98.963","98.963","98.963","98.963","98.963","98.35","98.35","98.35","98.35","98.35","98.35","98.35","98.35","98.35","104.94","104.94","104.94","104.94","104.94","104.94","104.94","104.94","104.94","104.94","104.94","104.94","104.94","104.94","104.94","104.94","104.94","104.94","104.94","104.94","104.94","104.94","104.94","104.94","104.94","104.94","104.94","104.94","104.94","104.94","104.94","104.94",
"전국","건강검진비","소비자물가지수[2020=100]","2020=100","98.128","98.233","98.003","98.435","98.503","98.503","98.56","98.56","98.647","98.647","98.647","98.791","99.233","99.224","99.358","99.445","99.445","99.349","99.349","99.349","99.349","99.32","99.32","99.32","99.54","99.6","99.7","99.85","99.89","100.2","100.2","100.2","100.2","100.2","100.2","100.2","100.15","100.15","100.57","100.76","100.88","100.88","100.88","100.94","101.06","101.06","101.06","101.13","101.38","101.54","101.72","101.63","101.93","102.05","102.29","102.24","102.24","102.24","102.45","102.49","102.91","102.89","103.27","103.6","104",
"전국","치과보철료","소비자물가지수[2020=100]","2020=100","102.631","102.61","102.579","102.298","102.298","102.028","100.438","100.438","100.147","99.919","99.991","99.669","99.399","99.43","99.357","99.108","99.098","98.983","99.004","99.025","99.066","99.139","99.108","99.108","99.61","99.73","99.57","99.63","99.75","99.77","99.97","100.16","100.42","100.48","100.45","100.47","100.49","100.47","100.6","100.64","100.67","100.72","100.7","100.86","100.88","100.91","100.83","100.87","100.9","101.02","101.03","101.32","101.52","101.68","101.77","101.79","101.63","101.68","101.7","101.52","101.5","101.64","101.68","101.9","102.01",
"전국","병원검사료","소비자물가지수[2020=100]","2020=100","133.542","133.793","134.282","120.306","120.594","120.594","120.707","120.707","120.707","113.575","113.55","113.55","114.966","112.071","112.071","112.058","111.807","111.845","111.883","111.895","108.323","108.335","106.342","106.342","109.9","96.69","100.03","100.4","100.42","100.42","100.45","100.53","97.77","97.78","97.8","97.83","98.97","99.04","99.06","85.75","85.75","85.75","85.8","85.86","73.27","73.23","73.23","73.24","73.99","73.29","58.75","58.87","58.87","58.89","58.9","58.9","58.94","58.91","58.93","58.93","59.78","59.77","59.86","59.94","59.96",
"전국","자동차수리비","소비자물가지수[2020=100]","2020=100","96.034","96.043","96.288","97.09","97.335","97.439","97.467","97.514","97.59","97.816","97.91","98.353","98.514","98.721","98.947","98.881","98.928","98.872","98.966","98.947","99.023","99.117","99.211","99.532","99.63","99.65","99.76","99.8","99.91","99.99","99.99","100.07","100.07","100.22","100.38","100.55","100.58","100.89","101.28","101.94","102.03","102.09","102.1","102.1","102.44","102.47","103.25","103.44","104.02","104.27","104.59","104.8","105.24","105.74","106.46","106.58","106.85","107.36","107.75","107.97","109.18","110.1","110.97","111.21","111.34",
"전국","엔진오일교체료","소비자물가지수[2020=100]","2020=100","91.817","92.223","92.867","94.181","95.027","95.248","95.168","95.503","95.609","95.918","96.138","96.138","96.535","96.95","97.241","97.302","97.426","97.435","98.061","98.211","98.316","98.378","98.51","98.89","99.01","99.54","99.46","99.68","99.82","100.08","100.2","100.28","100.34","100.5","100.54","100.57","100.66","102.12","102.99","104.33","104.65","105.01","105.44","105.77","106.29","106.77","107.77","108.19","109.08","109.69","110.96","112.66","113.48","115.13","116.56","116.94","117.41","118.24","118.92","119.42","120.39","121.39","123.02","123.55","124.36",
"전국","세차료","소비자물가지수[2020=100]","2020=100","87.879","88.784","89.495","89.997","90.151","90.306","90.592","91.148","91.689","92.207","92.516","92.594","93.931","94.132","95.19","95.801","96.056","96.18","96.234","96.489","97.586","97.748","97.957","98.66","98.81","99.12","99.45","99.56","99.56","99.8","99.8","99.83","100.06","100.74","101.31","101.96","102.68","103.16","103.87","104.23","104.3","104.34","104.87","104.97","105.62","106.2","106.69","107.54","109.5","110.88","112.02","112.68","113.35","113.84","114.16","114.36","114.43","114.83","115.5","116.38","118.13","119.7","120.66","121.91","122.19",
