상추 (생산자물가지수),118.13,91.33,62.05,68.34,71.56,53.69,115.41,189.34,333.3,98.21,51.96,66.05,66.06,53.54,55.15,61.64,71.04,65.31,97.04,186.99,188.74,205.15,95.57,95.48,138.04,54.44,56.14,50.83,65.9,98.37,163.6,281.9,165.43,58.02,52.87,90.86,142.68,88.42,68.36,78.39,90.18,115.41,174.43,222.73,299.24,232.18,91.63,87.62,126.77,79.72,77.45,90.34,80.79,133.85,330.06,298.4,169.75,94.79,59.05,128.35
오이 (생산자물가지수),129.49,115.58,106.14,72.55,72.03,56.2,85.37,123.4,124.02,81.72,81.79,114.13,128.19,122.4,105.48,65.65,56.2,53.23,85.2,125.75,97.59,97.25,121.73,128.29,182.24,153.38,108.24,66.71,56.95,67.26,92.01,165.74,180.3,61.59,75.25,120.12,153.03,149.9,119.81,75.89,81.45,71.28,90.21,125.12,121.18,144.12,169.33,165.93,183.3,146.08,144.49,88.49,67.95,87,174.41,181.06,147.16,108.19,93.82,164.17
호박 (생산자물가지수),140.56,154.64,148.04,87.99,92.34,55.41,51.87,102.75,145.55,82.46,111.28,103.86,106.77,93.24,77.8,52.69,54.35,62.14,59.83,110.81,108.6,91.96,65.32,97.55,157.53,151.74,122.22,62.78,67.86,66.03,88.26,240.6,170.21,61.63,69.13,107.01,175.13,163.52,143.03,82.15,103.39,84.36,56.27,105.64,149.71,149.11,134.53,148.26,167.37,129.3,129.82,84.51,68.9,103.74,147.87,210.9,152.01,108.84,77.14,134.07
양파 (생산자물가지수),109.45,104.46,76.34,67.63,68.79,59.22,57.07,64.51,66.2,58.07,57.73,53.52,47.99,48.38,56.04,77.25,54.78,39.85,34.61,44.24,46.69,43.63,52.88,68.84,88.82,105.52,110.56,109.35,95.44,71.37,79.99,103.21,118.06,121.67,130.75,137.9,178.53,199.38,192.95,104.16,62.18,66.48,73.71,90.85,94.86,89.75,96.42,87.91,71.02,58.54,55.24,59.4,74.15,136.45,144.67,148.76,146.77,149.89,149.63,148.58
사과 (생산자물가지수),59.04,65.29,65.01,64.03,61.97,62.55,61.41,61.64,64.44,58.43,61.16,66.83,72.68,60.84,63.49,62.61,63.19,66.8,62.71,51.43,52.94,50.39,51.08,56.52,56.66,56.11,57.55,60.35,86.2,94.41,104.77,128.4,128.4,83.97,80.17,97.25,100.01,107.35,103.75,107.65,109.53,108.07,97.48,74.31,74.31,65.26,57.26,72.35,90.63,75.97,61.96,68.09,62.82,79.63,91.67,92.13,92.13,64.92,60.05,62.06
배 (생산자물가지수),91.32,99.17,95.08,93.92,91.26,92.58,89.71,87.29,121.59,101.24,113.06,123.64,134.87,129.59,133.77,132.6,136.59,151.45,174.88,196.56,99.38,88.87,101.04,108.1,105.99,109.14,115.67,119.5,136.72,139.96,138.84,137.55,169.17,158.83,168.73,185.95,195.01,200.55,204.68,209.01,222.97,231.79,260.76,267.27,120.07,103.89,114.55,129.44,144,133.21,131.25,138.82,149.24,177.62,190.69,176.92,115.06,95.14,98.24,99.69
쇠고기 (생산자물가지수),105.02,108.76,107.27,108.11,107.69,108.23,104.7,109.64,110.84,108.54,106.58,104.83,108.66,108.59,106.16,104.92,105.4,107.12,106.42,108.21,108.81,110.81,110.32,111.12,114.5,112.04,110.64,117.6,123.28,115.98,120.84,122.44,123.85,123.42,118.19,115.22,125.39,119.36,119.85,122.77,120.16,126.24,122.41,128.12,136.31,126.6,123.69,122.94,121.13,111.96,115.77,113.2,113.45,115.55,110.26,116.92,118.03,107.92,104.17,95.55
돼지고기 (생산자물가지수),82.61,84.52,84.31,91.87,98.57,109.42,110.55,105.55,111.08,85.93,79.15,77.18,73.02,70.46,82.16,93.23,93.46,93.37,91.49,93.09,104.18,70.33,80.01,74.19,67.83,69.72,81.14,89.2,104.71,103.42,106.66,97.93,105.66,93.58,96.74,90.16,83.27,81.14,90.77,104.37,110.13,117.97,116.69,120.09,124.95,106.38,120.77,114.49,103.57,94.79,95.14,121.93,148.5,140.62,133.03,143.32,137.3,122.7,115.85,118.28
닭고기 (생산자물가지수),76.96,90.42,99.28,96.73,95.71,84.68,96.8,111.71,98.81,101.82,92.79,112.29,116.46,106.47,108.49,105.24,101.52,99.87,100.4,99.9,99.34,107.34,101.36,104.9,104.33,102.38,101.41,99,97.58,100.17,103.55,104.14,106.44,96.08,99.72,108.58,128.55,136.47,126.6,125.65,124.52,119.99,142.09,138.87,128.31,144.76,127.92,135.66,148.21,152.96,163.78,161.83,157.89,161.88,169.62,158.75,148.02,154.86,164,174.74
달걀 (생산자물가지수),81.68,74.98,59.72,65.95,67.66,51,62.61,84.95,100.14,86.04,73.66,70.31,61.75,55.02,57.42,80.08,70.26,70.03,74.05,72.66,85.58,92,89.99,91.54,90.07,78.16,89.61,87.91,82.72,77.61,78.61,80.56,91,91.47,88.06,91.07,122.02,149.49,145.62,145.47,152.51,157.46,156.76,147.32,137.34,119.3,117.23,117.53,116.85,112.28,121.8,130.07,136.35,134.95,131.39,128.06,124.66,123.03,128.53,130.78
조기 (생산자물가지수),84,84,84,84,84,84,50.99,26.79,37.8,45.42,48.99,67.69,64.29,64.29,64.29,64.29,64.29,64.29,64.29,79.64,85.49,67.62,67.15,74.72,87.23,120.72,120.72,120.72,129.24,129.24,129.24,106.6,100.77,72.34,98.19,108.49,144.9,86.92,111.64,111.64,111.64,111.64,111.64,103.01,101.05,63.03,65.1,72.54,128.94,134.03,67.16,53.3,31.28,31.28,31.28,118.34,135.99,129.11,105.65,100.04
갈치 (생산자물가지수),121.84,125.05,124.13,124.13,123.04,119.4,117.54,112.15,109.2,106.24,105.46,107.55,109.81,114.52,115.36,118.85,119.75,119.75,117.94,111.69,111.49,106.83,103.16,104.92,107.5,107.11,108.2,114.15,107.91,97.83,76.78,78.76,82.53,90.39,93.76,99.24,98.97,99.37,100.44,98.41,98.44,97.43,88.24,86.94,88.96,86.45,78.52,77.77,74.33,78.1,76.89,85.19,84.28,94.24,94.65,65.12,67.34,58.42,56.17,60.54
고등어 (생산자물가지수),103.91,103.8,102.86,103.32,103.32,103.32,103.32,82.85,80.56,78,81.03,81.14,78.98,80.34,82.02,87.85,89.68,92.36,93.34,83.03,83.4,83.67,88.88,94.45,111.98,123.61,125.22,129.41,129.41,129.41,113.11,110.57,109.5,112.2,115.64,115.38,123.15,133.78,135.69,130.98,125.03,125.56,118.7,122.76,130.25,114.43,120.8,129.33,126.73,126.39,130.51,133.86,132.98,125.76,123.29,120.33,131.33,132.6,151.03,141.72
기타어류 (생산자물가지수),103.23,111.54,106.05,99.42,125.98,118.83,104.56,107.38,86.87,80.8,89.53,94.48,102.56,102.57,114.21,98.22,98.1,121.9,111.47,108.52,116.55,96.62,97.7,109.55,109.32,99.56,111.04,105.04,115.1,123.32,129.13,109.45,113.46,112.42,96.43,92.72,102.34,100.37,110.27,99.71,112.32,112.34,108.68,107.88,102.82,101.34,112.05,103.52,105.38,112.11,103.13,98.3,107.51,131.1,125.04,127.16,119.65,117.93,122.21,134.53
물오징어 (생산자물가지수),207.3,209.51,212.67,212.67,218.24,228.68,235.42,232.82,240.58,233.47,240.16,239.66,234.96,231.75,238.75,230.19,230.19,234.82,236.69,234.05,230.89,245.32,277.12,295.33,295.33,295.33,295.33,295.33,295.33,206.38,201.65,204.87,246.93,237.47,259.95,263.2,248.49,257.36,262.49,259.78,248.57,244.43,227.46,187.77,195.16,181.06,217.98,259.88,257,250.86,284.36,300.01,304.4,304.97,248.91,215.6,202.06,232.23,275.32,276.93
Food Price Index,96.8,97.9,99,98.6,98.7,97,95.1,96,94.2,93.3,92.2,92.2,93.3,94,93.2,93.6,94.3,95.4,95.1,94.1,93.4,95.2,98.6,101,102.5,99.4,95.2,92.5,91.1,93.3,94,95.9,98,101.4,105.6,108.6,113.5,116.6,119.2,122.1,128.1,125.3,124.6,128,129.2,133.2,135.3,133.7,135.6,141.2,159.7,158.4,158.1,154.7,140.6,137.6,136,135.4,134.7,131.8
Meat,95.6,97,97.2,95.9,95.3,95.1,94.6,95.8,94.1,92.3,92.9,92.9,92.3,93.1,94.6,97.8,100.5,101.2,102.4,102.3,101,101.6,106.5,106.6,103.6,100.5,99.4,96.9,95.4,94.8,92.2,92.2,91.5,91.8,93.3,94.8,96,97.8,100.8,104.3,107.4,110.7,114.1,113.4,112.7,112,112.5,111,112.1,113.9,119.3,121.9,122.9,125.9,124.1,121.1,120.3,116.8,114.6,112.4
Dairy,106,108.8,111.3,110,111.4,112.3,110.1,108.5,108.3,102.8,100,97.8,100.9,103.8,105.6,106.1,106.6,102.9,101.1,100.3,99.6,100.8,102.5,103.5,103.8,102.9,101.5,95.8,94.4,98.3,101.8,102.1,102.3,104.5,105.4,109.2,111.2,113.1,117.5,119.1,121.1,119.9,116.7,116.2,118.1,121.5,126,129,132.6,141.5,145.8,146.7,144.2,150.2,146.5,143.4,142.7,139.3,137.4,138.2
Cereals,95.2,98.4,101.8,104,105.5,100.8,98.7,103.5,100.3,100.9,99.6,101.1,101.8,100.7,97.5,94.6,94.4,99.2,97.6,92.6,91.8,96,95.6,97.4,100.7,99.6,98,99.6,98,97.3,97.3,99.2,104.3,112.1,114.8,116.4,125,126.1,123.9,126.2,133.7,130.3,126.3,130.4,132.8,137.1,141.4,140.5,140.6,145.3,170.1,169.7,173.5,166.3,147.3,145.6,147.9,152.3,150.1,147.3
Oils,98.25,95.6,95.36,94.02,92.15,89.33,86.9,84.43,82.33,81.33,76.59,76.84,80.26,81.78,78.41,79.11,78.5,77.46,78.09,82.59,83.89,84.11,93.16,101.5,108.73,97.55,85.42,81.18,77.77,86.61,93.2,98.7,104.6,106.45,121.9,131.2,138.87,147.46,159.3,162.19,174.9,157.7,155.5,165.9,168.6,184.8,184.6,178.5,185.9,201.7,251.8,237.5,229.2,211.8,168.8,163.3,152.6,151.3,154.7,144.6
Sugar,87.2,83.9,80.9,76.8,76.4,77.4,72.5,68.6,70.4,76.5,79.9,78.3,79.3,80.3,78.7,79.3,76.7,79.9,79.4,76.2,73.5,77.8,79.2,83,87.5,91.4,73.9,63.2,67.8,74.9,76,81.1,79,84.7,87.5,87.1,94.2,100.2,96.2,100,106.8,107.7,109.6,120.5,121.2,119.1,120.2,116.4,112.7,110.5,117.9,121.5,120.4,117.3,112.8,110.5,109.7,108.6,114.4,117.2
